LeagueName,Team,wins,played,win_rate_pct
LaLiga,Barcelona,547.0,776.0,70.49
Bundes,Bayern Munich,486.0,693.0,70.13
LaLiga,Real Madrid,537.0,776.0,69.2
SerieA,Juventus,458.0,736.0,62.23
EPL,Man City,470.0,775.0,60.65
SerieA,Inter,454.0,774.0,58.66
EPL,Man United,448.0,775.0,57.81
EPL,Liverpool,444.0,775.0,57.29
EPL,Chelsea,442.0,775.0,57.03
EPL,Arsenal,434.0,775.0,56.0
SerieA,Napoli,386.0,698.0,55.3
LaLiga,Ath Madrid,427.0,776.0,55.03
SerieA,Roma,418.0,774.0,54.01
Bundes,Dortmund,374.0,693.0,53.97
SerieA,Milan,413.0,774.0,53.36
Bundes,RB Leipzig,169.0,319.0,52.98
Bundes,Leverkusen,345.0,693.0,49.78
EPL,Tottenham,380.0,775.0,49.03
SerieA,Lazio,363.0,774.0,46.9
LaLiga,Sevilla,354.0,775.0,45.68
LaLiga,Villarreal,328.0,737.0,44.5
SerieA,Fiorentina,326.0,774.0,42.12
Bundes,Schalke 04,238.0,578.0,41.18
LaLiga,Valencia,319.0,775.0,41.16
SerieA,Atalanta,287.0,698.0,41.12
LaLiga,Sociedad,253.0,661.0,38.28
LaLiga,Ath Bilbao,295.0,776.0,38.02
EPL,Everton,294.0,775.0,37.94
Bundes,Stuttgart,237.0,625.0,37.92
Bundes,M'gladbach,246.0,659.0,37.33
Bundes,Union Berlin,81.0,217.0,37.33
Bundes,Wolfsburg,258.0,693.0,37.23
EPL,Leicester,140.0,380.0,36.84
Bundes,Werder Bremen,241.0,659.0,36.57
SerieA,Como,19.0,52.0,36.54
LaLiga,Girona,74.0,205.0,36.1
EPL,Brentford,60.0,167.0,35.93
Bundes,Hamburg,160.0,455.0,35.16
Bundes,Hoffenheim,207.0,591.0,35.03
EPL,Newcastle,244.0,699.0,34.91
Bundes,Ein Frankfurt,228.0,659.0,34.6
Bundes,Freiburg,180.0,523.0,34.42
LaLiga,Betis,227.0,661.0,34.34
EPL,Aston Villa,227.0,661.0,34.34
EPL,Blackburn,91.0,266.0,34.21
LaLiga,Celta,194.0,585.0,33.16
SerieA,Udinese,256.0,774.0,33.07
SerieA,Palermo,138.0,418.0,33.01
EPL,West Ham,242.0,737.0,32.84
Bundes,Mainz,204.0,625.0,32.64
