LeagueName,season_year,matches
Bundes,2005,153
Bundes,2006,306
Bundes,2007,306
Bundes,2008,306
Bundes,2009,306
Bundes,2010,306
Bundes,2011,306
Bundes,2012,306
Bundes,2013,305
Bundes,2014,307
Bundes,2015,306
Bundes,2016,297
Bundes,2017,315
Bundes,2018,306
Bundes,2019,306
Bundes,2020,270
Bundes,2021,342
Bundes,2022,288
Bundes,2023,314
Bundes,2024,298
Bundes,2025,288
EPL,2005,194
EPL,2006,394
EPL,2007,371
EPL,2008,379
EPL,2009,378
EPL,2010,374
EPL,2011,377
EPL,2012,391
EPL,2013,372
EPL,2014,380
EPL,2015,380
EPL,2016,378
EPL,2017,401
EPL,2018,371
EPL,2019,379
EPL,2020,336
EPL,2021,408
EPL,2022,361
EPL,2023,412
EPL,2024,372
EPL,2025,342
LaLiga,2005,170
LaLiga,2006,369
LaLiga,2007,391
LaLiga,2008,370
LaLiga,2009,370
LaLiga,2010,390
LaLiga,2011,380
LaLiga,2012,390
LaLiga,2013,380
LaLiga,2014,369
LaLiga,2015,390
LaLiga,2016,370
LaLiga,2017,390
LaLiga,2018,380
LaLiga,2019,391
LaLiga,2020,355
LaLiga,2021,407
LaLiga,2022,348
LaLiga,2023,410
LaLiga,2024,381
LaLiga,2025,351
SerieA,2005,170
SerieA,2006,389
SerieA,2007,368
SerieA,2008,382
SerieA,2009,377
SerieA,2010,381
SerieA,2011,373
SerieA,2012,400
SerieA,2013,370
SerieA,2014,370
SerieA,2015,389
SerieA,2016,389
SerieA,2017,390
SerieA,2018,382
SerieA,2019,359
SerieA,2020,349
SerieA,2021,431
SerieA,2022,341
SerieA,2023,410
SerieA,2024,378
SerieA,2025,342
